Naveens Bapu Ki Kutia,"STC PALM SQAURE, Lalghati Chouraha, Lalghati, Bhopal - 462030, Above Axis Bank (Map)",3,-9152809444,4,https://www.justdial.com/Bhopal/Naveens-Bapu-Ki-Kutia-Above-Axis-Bank-Lalghati/0755PX755-X755-180221115339-M2S7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 11:00 pm
Hotel Awadh Restaurant,"Ayodhya Bypass Road, Ayodhya Nagar, Bhopal - 462041, Opposite Gate No 3 Minal Residency (Map)",4.3,-9152635394,6,https://www.justdial.com/Bhopal/Hotel-Awadh-Restaurant-Opposite-Gate-No-3-Minal-Residency-Ayodhya-Nagar/0755PX755-X755-170810195330-M4V6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,12:00 am - 12:00 am
Madina Restaurant,"94, Gayatri Nagar, 120 Ft. Main Road, BHEL, Bhopal - 462022, Near Nizamuddin Colony (Map)",5,-9152955300,3,https://www.justdial.com/Bhopal/Madina-Restaurant-Near-Nizamuddin-Colony-BHEL/0755PX755-X755-180125203243-T7G3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 11:30 pm
Hotel The Kanha Castle,"223 A, Mp Nagar, M P Nagar, Bhopal - 462011, Zone 1 (Map)",5,-9152927703,18,https://www.justdial.com/Bhopal/Hotel-The-Kanha-Castle-Zone-1-M-P-Nagar/0755PX755-X755-180119163919-Q5I7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,Open 24 Hrs
Dangi Da Family Dhaba,"Bhojpur Road, Bangrasia, Bhopal - 462045, Opposite Bharat Petroleum (Map)",5,-9152707619,1,https://www.justdial.com/Bhopal/Dangi-Da-Family-Dhaba-Opposite-Bharat-Petroleum-Bangrasia/0755PX755-X755-180117155607-A4C2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:30 pm
Make My Day,"Plot No. 85 Shop No. 1, C Sector, Indrapuri, Bhopal - 462023, Near Impulse Classes (Map)",5,-9152367723,4,https://www.justdial.com/Bhopal/Make-My-Day-Near-Impulse-Classes-Indrapuri/0755PX755-X755-180605172039-P4E4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 10:30 pm
GUPTA JI PURE VEG Restauran..,"Plot NO.90, Ground Floor, Mp Nagar Road, M P Nagar, Bhopal - 462011, Near Raymond Showroom (Map)",4.6,-9152801345,21,https://www.justdial.com/Bhopal/GUPTA-JI-PURE-VEG-Restaurant-Near-Raymond-Showroom-M-P-Nagar/0755PX755-X755-170320123155-A3W6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Yuvraj Dhaba,"Shop No-2, Ayodhya Bypass Road, Ayodhya Nagar, Bhopal - 462041, Opp Sagar Estate, (Map)",4.4,-9152689146,8,https://www.justdial.com/Bhopal/Yuvraj-Dhaba-Opp-Sagar-Estate-Ayodhya-Nagar/0755PX755-X755-180115182801-D7U3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 11:30 pm
Shree Swad,"Shop No.1 Earing Point, Mandakini Square, Kolar Road, Bhopal - 462042, Opp. Drishti Plaza (Map)",4.6,-9152650550,5,https://www.justdial.com/Bhopal/Shree-Swad-Opp-Drishti-Plaza-Kolar-Road/0755PX755-X755-170816130701-Q7E1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Hungers Stop,"Shop No-8, Airport Bypass Road, Gandhinagar, Bhopal - 462036, Asharam Choraha (Map)",4.3,-9152804315,2,https://www.justdial.com/Bhopal/Hungers-Stop-Asharam-Choraha-Gandhinagar/0755PX755-X755-180111154330-E5B7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 10:00 pm
