,np1,np2,ap1,ap2,label
115486,0,0,33.33333333,22.22222222,0
64291,0,0,21.42857143,18.75,0
90658,0,0,25,27.27272727,0
36211,0,0,6.666666667,10,0
40960,0,0,15.78947368,21.42857143,0
78892,0,0,10,16.66666667,0
24936,0,0,7.142857143,7.142857143,0
65875,0,0,0,0,0
67757,0,0,7.692307692,8.333333333,0
59536,0,0,16.66666667,33.33333333,0
34268,0,0,10.52631579,28.57142857,0
25991,0,0,12.5,14.28571429,0
56199,0,0,27.27272727,23.07692308,0
55126,0,0,7.142857143,16.66666667,0
41884,0,0,5.555555556,14.28571429,0
6354,0,0,6.666666667,14.28571429,0
74789,0,0,11.11111111,22.22222222,0
91603,0,0,6.666666667,16.66666667,0
45076,0,0,0,0,0
31993,0,0,9.523809524,22.22222222,0
40767,0,0,0,0,0
92930,0,0,9.090909091,10,0
89548,0,0,5.882352941,14.28571429,0
97389,0,0,10,10,0
86444,0,0,0,0,0
51417,20,25,10.52631579,22.22222222,0
32910,0,0,25,36.36363636,0
109010,0,0,0,0,0
18490,0,0,8.333333333,14.28571429,0
94591,0,0,5,14.28571429,0
66603,0,0,6.25,20,0
53387,0,0,4.347826087,20,0
104357,0,0,23.07692308,42.85714286,0
85528,0,0,14.28571429,9.090909091,0
72988,0,0,18.18181818,14.28571429,0
78220,0,0,8.333333333,11.11111111,0
107982,0,0,12.5,25,0
17451,0,0,8.333333333,12.5,0
49537,0,0,7.142857143,11.11111111,0
104487,0,0,15.38461538,33.33333333,0
31066,0,0,25,23.52941176,0
80885,0,0,0,0,0
68271,0,0,7.142857143,14.28571429,0
20059,0,0,6.25,12.5,0
27786,0,0,5,12.5,0
92672,0,0,18.18181818,16.66666667,0
81779,0,0,20,8.333333333,0
27712,0,0,6.666666667,11.11111111,0
51197,0,0,5.555555556,16.66666667,0
50428,0,0,6.666666667,16.66666667,0
88734,0,0,12.5,22.22222222,0
38127,0,0,7.142857143,11.11111111,0
55180,0,0,14.28571429,33.33333333,0
112203,0,0,21.42857143,16.66666667,0
835,0,0,14.28571429,14.28571429,0
47152,0,0,12.5,25,0
51725,0,0,15.78947368,42.85714286,0
102093,0,0,7.142857143,12.5,0
100526,0,0,10,6.666666667,0
6613,0,0,16.66666667,14.28571429,0
24451,0,0,18.18181818,22.22222222,0
64365,0,0,14.28571429,25,0
26393,0,0,5.882352941,14.28571429,0
36965,0,0,0,0,0
73306,0,0,0,0,0
33977,0,0,16.66666667,50,0
33422,0,0,12.5,16.66666667,0
74366,0,0,44.44444444,57.14285714,1
95260,0,0,6.25,9.090909091,0
47195,0,0,12.5,25,0
47964,0,0,7.692307692,12.5,0
13836,0,0,6.25,9.090909091,0
58294,0,0,8.333333333,14.28571429,0
2192,0,0,22.22222222,22.22222222,0
72489,0,0,0,0,0
54120,0,0,8.333333333,12.5,0
36936,0,0,5.555555556,7.142857143,0
347,0,0,5.882352941,20,0
57013,0,0,13.33333333,20,0
42731,0,0,4.545454545,9.090909091,0
17349,0,0,25,27.27272727,0
17826,0,0,6.25,12.5,0
77998,0,0,18.18181818,18.18181818,0
70274,0,0,11.76470588,22.22222222,0
53188,0,0,6.25,12.5,0
79156,0,0,20,11.11111111,0
337,0,0,17.64705882,33.33333333,0
80012,0,0,8.333333333,20,0
29765,0,0,12.5,28.57142857,0
61666,0,0,66.66666667,37.5,0
57158,0,0,13.33333333,18.18181818,0
10313,0,0,22.22222222,57.14285714,0
38703,0,0,11.76470588,11.11111111,0
75273,0,0,13.33333333,28.57142857,0
60033,0,0,6.666666667,8.333333333,0
46641,0,0,25,30,0
4607,0,0,15.38461538,28.57142857,0
32607,0,0,16.66666667,25,0
44845,0,0,7.692307692,11.11111111,0
63686,0,0,9.090909091,9.090909091,0
97918,0,0,10.52631579,20,0
32749,0,0,18.75,25,0
30200,0,0,9.090909091,20,0
45104,0,0,0,0,0
9783,0,0,5.263157895,8.333333333,0
83526,0,0,9.090909091,8.333333333,0
106401,0,0,7.142857143,8.333333333,0
